Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
MASTERPACT 1600A 3-Pole Circuit Breaker NW16H1,SQUARE D,1600 amps,600 volts,,,Model  NW16H1   234608840203   Used   1600 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WA4EAR44A9SXXXXXXA,https://www.lenmark.com//collections/breakers/products/masterpact-1600a-3-pole-circuit-breaker-nw16h1-1
MASTERPACT 1600A 3-Pole Circuit Breaker NW16H1,SQUARE D,1600 amps,600 volts,,,Model  NW16H1   234608840206   Used   1600 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WA4EAR44A9SXXXXXXA,https://www.lenmark.com//collections/breakers/products/masterpact-1600a-3-pole-circuit-breaker-nw16h1-4
"VD4 630A, 12kV Medium-Voltage Vacuum Circuit Breaker VD4 1206-16",ABB,630 amps,,,,"Model  VD4 1206-16   7016993   Used   630 amps   VD4   3   3-phase   Voltage: 12kV (12,000V) Frequency: 50/60hz  Power-Frequency Withstand Voltage: 28kV (28,000V) Lightning Impulse Withstand Voltage: 75kV (75,000V)  Normal Current: 630A Short-Circuit Breaking Current: 16kA (16,000A)  Short-Time Withstand Current: 3sec. @ 16kA (16,000A) Short-Circuit Making Current: 40kA (40,000A)",https://www.lenmark.com//collections/breakers/products/vd4-630a-12kv-medium-voltage-vacuum-circuit-breaker-vd4-1206-16
600 Amp 3 Pole Circuit Breaker LJ 600,SQUARE D,600 amps,,,,Model  LJ 600   Used   600 amps   3,https://www.lenmark.com//collections/breakers/products/600-amp-3-pole-circuit-breaker-lj-600
2000 Amp 3 Pole Low Voltage AC Power Circuit Breaker DSLII-620,CUTLER-HAMMER,2000 amps,600 volts,,,Model  DSLII-620   2005   Used   2000 amps   3   600 volts   3-phase   Protection: Solid State   Interrupting Rating: 2000 kA @ 600 V  Shunt Trip: 120 V   Spring Release: 120 V  OTS Reset: Manual   Motor Circuit: 120 V  Trip Unit: Digitrip RMS 910   Mounting: Draw-out,https://www.lenmark.com//collections/breakers/products/2000-amp-3-pole-low-voltage-ac-power-circuit-breaker-dslii-620
800A 600V Fused Circuit Breaker TH83800F,FEDERAL PIONEER,800 amps,600 volts,,,Model  TH83800F   Good   800 amps   3   600 volts  250 VDC,https://www.lenmark.com//collections/breakers/products/800a-600v-fused-circuit-breaker-th83800f
1600 Amp 3 Pole Low-Voltage Fused Power Circuit Breaker DSLII-516,CUTLER-HAMMER,1600 amps,600 volts,,,"Model  DSLII-516   2010   Very Good   1600 amps   3   600 volts   3-phase   Interrupting Capacity: 200 kA  Mounting: Draw-out  Trip Unit: RMS 910  Shunt Trip: 120 VAC  Spring Release: 120 VAC  OTS Reset: Manual  Motor Circuit: 120 VAC  Fuses: Class DSL, 600 V, 1600 A",https://www.lenmark.com//collections/breakers/products/1600-amp-3-pole-low-voltage-fused-power-circuit-breaker-dslii-516
MASTERPACT 3200A 3-Pole Circuit Breaker NW32H1,SQUARE D,3200 amps,600 volts,,,Model  NW32H1   234608840303   Used   3200 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WA4JFR44A9SXXXXXXA,https://www.lenmark.com//collections/breakers/products/masterpact-3200a-3-pole-circuit-breaker-nw32h1
1600 Amp 3 Pole Low-Voltage Fused Power Circuit Breaker DSLII-516,CUTLER-HAMMER,1600 amps,600 volts,,,"Model  DSLII-516   Very Good   1600 amps   3   600 volts   3-phase   Interrupting Capacity: 200 kA  Mounting: Draw-out  Trip Unit: RMS 910  Shunt Trip: 120 VAC  Spring Release: 120 VAC  OTS Reset: Manual  Motor Circuit: 120 VAC  Fuses: Class DSL, 600 V, 1600 A",https://www.lenmark.com//collections/breakers/products/1600-amp-3-pole-low-voltage-fused-power-circuit-breaker-dslii-517
MASTERPACT 1600A 3-Pole Circuit Breaker NW16H1,SQUARE D,1600 amps,600 volts,,,Model  NW16H1   234608840202   Used   1600 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WA4EAR44A9SXXXXXXA,https://www.lenmark.com//collections/breakers/products/masterpact-1600a-3-pole-circuit-breaker-nw16h1-3
1000 Amp 3 Pole Sensitrip IV Circuit Breaker SHND6B100LSIGH,SIEMENS,1000 amps,600 volts,,,Model  SHND6B100LSIGH   MEXICO   Used   1000 amps   3   600 volts   3-phase   Current Interrupting Ratings:  100 kA @ 240 V 65 kA @ 480 V 50 kA @ 600 V  Connection: Feed-Thru Trip Functions:  Long-Time  Short-Time  Instantaneous  Ground Fault,https://www.lenmark.com//collections/breakers/products/1000-amp-3-pole-sensitrip-iv-circuit-breaker-shnd6b100lsigh
MASTERPACT 800A 3-Pole Circuit Breaker NW08H1,SQUARE D,800 amps,600 volts,,,Model  NW08H1   085250215601   Used   800 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WN4AAR74A3SXXXXXCA,https://www.lenmark.com//collections/breakers/products/masterpact-800a-3-pole-circuit-breaker-nw08h1-7
MASTERPACT 800A 3-Pole Circuit Breaker NW08H1,SQUARE D,800 amps,600 volts,,,Model  NW08H1   085250216901   Used   800 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WN4AAR74A3SXXXXXCA,https://www.lenmark.com//collections/breakers/products/masterpact-800a-3-pole-circuit-breaker-nw08h1-5
