Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
High Temperature Switch SC15600S105-2U P/N: 7821332,WIKA,,,,,Model  SC15600S105-2U   GERMANY   Surplus New   Amperage: 5 Amp Voltage: 250 VAC,https://www.lenmark.com//collections/switches/products/high-temperature-switch-sc15600s105-2u-p-n-7821332
Snap Switch Controller  L404F,HONEYWELL,,120 volts,,,Model  L404F   Good   120 volts   3-phase   Voltage: 120V  Switch: SPDT,https://www.lenmark.com//collections/switches/products/snap-switch-controller-l404f
Custom Industrial Switch Assembly,Lenmark Industries,,240 volts,,,Condition  Used   240 volts   Single-phase   Components:  OMIRON Power Supply PS5R-A24  OMIRON Waterproof Time Relay H3CR-A  SMC Pressure Switch ISG130-031  CRAMER Hour Meter,https://www.lenmark.com//collections/switches/products/custom-industrial-switch-assembly
Selector Switch DSD923SA,CROUSE-HINDS,,,,,Model  DSD923SA   Used,https://www.lenmark.com//collections/switches/products/selector-switch-dsd923sa
"30A, 600V, 3-Pole, Enclosed Fused, Industrial Duty Switch ID361",SIEMENS,30 amps,600 volts,,,"Model  ID361   Used   30 amps   600 volts   3-phase   Fuses  3 x MERSEN 30A, 600VAC/300VDC, Dual-Element, Time-Delay Fuses (SERIES: Tri-Onic, MODEL: TRS30R)",https://www.lenmark.com//collections/switches/products/30a-600v-3-pole-enclosed-fused-industrial-duty-switch-id361-1
30 Amp Enclosed Disconnect Switch EGSC303BP3SPW-C,MERSEN,30 amps,600 volts,,,Model  EGSC303BP3SPW-C   Used   30 amps   600 volts   3-phase   Disconnect Type: Motor Disconnect   Enclosure Type: Non-Metallic (Indoor/Outdoor)  Enclosure Rating: NEMA 4X   Receptacles: None  Mounting Type: Surface,https://www.lenmark.com//collections/switches/products/30-amp-enclosed-disconnect-switch-egsc303bp3spw-c
"ConneXium Ethernet Switch 5-TX Ports, TCSESU053FN0",SCHNEIDER ELECTRIC,0.1 amps,24 volts,,,"Model  TCSESU053FN0   GERMANY   Surplus New   0.1 amps   24 volts   Communication Port Protocol: Ethernet TCP/IP Ports: 10/100BASE-TX - 5 copper cable  Connection Type: Shielded RJ45 copper cable Input: 24 VDC, 100 mA",https://www.lenmark.com//collections/switches/products/connexium-ethernet-switch-5-tx-ports-tcsesu053fn0
Switching Repeater 897H-G231,ALLEN-BRADLEY,,,,,Model  897H-G231   Used,https://www.lenmark.com//collections/switches/products/switching-repeater-897h-g231
Pressure Switch CD2H-A80SS,BARKSDALE,,,,,"Model  CD2H-A80SS   Surplus New   Pressure Range: 0 To 80 Psi Product Type: Pressure Switches  Setpoint Adjustment Type: External Adjustment Switch Type: (2) SPDT  Wetted Materials: Stainless Steel Product Category: Switches  Standard: 1/4"" NPT female",https://www.lenmark.com//collections/switches/products/pressure-switch-cd2h-a80ss
"Pressure Switch 0.5Bar, 0.5A, 250VAC, MBC 5000 1011-1CB04 P/N: 061B201266",DANFOSS,0.5 amps,,,,Model  MBC 5000 1011-1CB04   POLAND   Surplus New   0.5 amps   Single-phase   Pressure: 0.5Bar Maximum Pressure : 15 Bar  Voltage: 250VAC,https://www.lenmark.com//collections/switches/products/pressure-switch-0-5bar-0-5a-250vac-mbc-5000-1011-1cb04-p-n-061b201266
