Title,Manufacturer,kVA,Primary Voltage,Secondary Voltage,Phase,Oil vs Dry,Transformer Type,Enclosure,Description,Link
40 kVA Transformer 460 Delta Primary Voltage 460Y/266 Secondary Voltage DT651H4,EGS,40 kVA,460 volts,,3-phase,Dry,,Nema 1,Model  DT651H40S   Used   40 kVA   460 volts   3-phase   Isolation   Dry   Nema 1   Secondary Voltage: 460Y/266 Volts Class: AA  L.V Amps: 50.2 Frequency: 60 Hz  Type: Shielded Drive Isolation Transformer,https://www.lenmark.com//collections/dry-type-transformer/products/40-kva-transformer-460-delta-primary-voltage-460y-266-secondary-voltage-dt651h4
"60 kVA Auto Transformer, 440 Primary Voltage, 400 Secondary Voltage",IMAI ELECTRIC,60 kVA,440 volts,,3-phase,Dry,,,Model  60KVA-420V-ELB Q   Used   60 kVA   440 volts   3-phase   Auto   Dry   Standard: JEC-2200-1995,https://www.lenmark.com//collections/dry-type-transformer/products/60-kva-auto-transformer-440-primary-voltage-400-secondary-voltage
"30 kVA Transformer, 480Y Primary Voltage, 240Y Secondary Voltage RA30C-H",REX POWER MAGNETICS,30 kVA,480Y volts,240Y volts,3-phase,Dry,,Nema 3R,Model  RA30C-H   New   30 kVA   480Y volts   240Y volts   3-phase   Auto   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-transformer-480y-primary-voltage-240y-secondary-voltage-ra30c-h
15 kVA Auto Transformer 480 primary volts 220 secondary volts AVR15SK24C,BEAVER,15 kVA,480 volts,220 volts,3-phase,Dry,,Nema 2,Model  AVR15SK24C   New   15 kVA   480 volts   220 volts   3-phase   Auto   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-auto-transformer-480-primary-volts-220-secondary-volts-avr15sk24c
"15kVA, 3-Ph Autotransformer RC15H-B/N/X, 480/277V Pri., 208/120V Sec.",REX POWER MAGNETICS,15 kVA,480 volts,208/120 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC15H-B/N/X   New   15 kVA   480 volts   208/120 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-3-ph-autotransformer-rc15h-b-n-x-480-277v-pri-208-120v-sec
30 kVA Transformer Pri 600V Sec 208Y/120V 3 ph,DELTA,30 kVA,600 volts,208/120 volts,3-phase,Dry,Distribution Transformer,,Model  CD3C0030VHA6XXBG   DRH-0761-180517   Surplus New   30 kVA   600 volts   208/120 volts   3-phase   Distribution Transformer   Isolation   Dry   Temp Rise: 150 deg C  Class: 220 deg C,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-transformer-pri-600v-sec-208y-120v-3-ph
"30kVA, 3-Ph Autotransformer RC30J-F/N/X, 600/347V Pri., 380/220V Sec.",REX POWER MAGNETICS,30 kVA,600 volts,380/220 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC30J-F/N/X   New   30 kVA   600 volts   380/220 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/30kva-3-ph-autotransformer-rc30j-f-n-x-600-347v-pri-380-220v-sec
"15kVA, 3-Ph Autotransformer RC15J-F/N/X, 600/347V Pri., 380/220V Sec.",REX POWER MAGNETICS,15 kVA,600 volts,380/220 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC15J-F/N/X   New   15 kVA   600 volts   380/220 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/15kva-3-ph-autotransformer-rc15j-f-n-x-600-347v-pri-380-220v-sec
"30kVA, 3-Ph Autotransformer RC30J-H/N/X, 600/347V Pri., 480/277V Sec.",REX POWER MAGNETICS,30 kVA,600 volts,480 volts,3-phase,Dry,Distribution Transformer,Nema 3R,Model  RC30J-H/N/X   New   30 kVA   600 volts   480 volts   3-phase   Distribution Transformer   Auto   Dry   Nema 3R  Photos Pending.,https://www.lenmark.com//collections/dry-type-transformer/products/30kva-3-ph-autotransformer-rc30j-h-n-x-600-347v-pri-480-277v-sec
75 kVA Auto Transformer Pri. 480V Sec. 240V,HAMMOND,75 kVA,480 volts,240 volts,3-phase,Dry,,,Model  KF75   CANADA   Used   75 kVA   480 volts   240 volts   3-phase   Auto   Dry  Temp. Rise: 150C,https://www.lenmark.com//collections/dry-type-transformer/products/75-kva-auto-transformer-pri-480v-sec-240v
